country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate F-gases,269.8188174,263.3833876,255.2125972,248.3428724,255.5295954,286.3263737,298.1390618,311.1114238,324.8218562,307.3762983,307.9153883,287.2743654,288.3478965,280.0028526,292.0483053,302.7567567,310.8398339,327.2297526,336.0920616,324.2183165,342.5988112,354.135462,370.4689287,380.9113967,390.2512364,386.5460036,394.0309378,406.687405,413.5599089,411.2024163,411.9775299,403.5822397
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate GHGs,17858.54193,17343.20987,16743.69043,16456.84867,16109.45514,16105.24534,16280.13778,16080.46826,15954.56525,15887.79056,16198.18448,16032.85865,16123.38042,16328.71161,16559.05914,16565.28148,16510.76177,16748.99448,16274.92753,15068.59973,15510.62522,15379.51785,15146.61951,15249.22279,14977.28167,14988.75489,14618.75511,14776.04873,14969.45084,14686.39883,13435.69393,13737.40661
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,CH4,2766.614523,2719.709177,2673.018283,2623.638858,2582.098188,2547.751933,2526.959938,2488.777605,2445.773797,2413.69831,2392.210555,2359.602489,2333.297768,2327.805373,2306.54252,2290.728412,2286.788684,2280.743979,2260.411284,2202.662431,2193.07468,2165.534503,2150.743859,2129.764689,2107.288345,2101.172287,2056.023518,2089.097009,2108.165762,2084.156814,2037.254967,1929.914711
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,CO2,13718.95579,13294.33676,12776.92575,12550.15892,12250.81398,12258.0854,12427.7583,12273.10269,12204.42871,12226.25145,12557.60001,12450.4403,12569.98362,12793.84206,13012.47788,13039.21486,12993.20033,13209.62769,12767.66166,11649.22621,12104.23133,11977.76339,11767.21168,11843.60852,11576.64718,11597.98473,11277.7068,11373.20327,11522.99435,11288.31627,10101.9374,10525.94003
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,N2O,1103.152796,1065.780543,1038.533802,1034.708028,1021.013381,1013.081633,1027.280482,1007.476536,979.5408896,940.4644998,940.4585267,935.5414932,931.7511378,927.0613215,947.9904392,932.5814563,919.9329213,931.3930549,910.7625269,892.492769,870.7204003,882.0844955,858.195045,894.938192,903.0949103,903.0518632,890.9938564,907.0610457,924.7308213,902.7233292,884.5240305,877.969628
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate F-gases,269.8188174,263.3833876,255.2125972,248.3428724,255.5295954,286.3263737,298.1390618,311.1114238,324.8218562,307.3762983,307.9153883,287.2743654,288.3478965,280.0028526,292.0483053,302.7567567,310.8398339,327.2297526,336.0920616,324.2183165,342.5988112,354.135462,370.4689287,380.9113967,390.2512364,386.5460036,394.0309378,406.687405,413.5599089,411.2024163,411.9775299,403.5822397
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,Aggregate GHGs,19090.93457,18688.25046,18123.36379,17893.77842,17656.17634,17737.0983,18019.55759,17879.49431,17805.63303,17783.40871,18018.03541,17963.78918,17968.67962,18205.76425,18357.34227,18388.87377,18385.61105,18539.95036,18137.4898,17004.29319,17506.68081,17363.29674,17156.86388,17162.98782,16946.58221,16747.20503,16580.58164,16638.40158,16783.15661,16400.6904,15244.12167,15400.76801
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,CH4,2647.96355,2603.867279,2559.880667,2512.257634,2466.402556,2434.445935,2411.794976,2376.365273,2328.442145,2297.928266,2268.663483,2244.353849,2208.030315,2202.27842,2179.459728,2167.117611,2161.793557,2154.428709,2138.988692,2077.013414,2077.430755,2046.449996,2031.396951,2012.617202,1990.252461,1970.771344,1938.290659,1960.241825,1982.685181,1965.319699,1914.471772,1811.60044
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,CO2,15104.97294,14794.34027,14307.36229,14135.75089,13951.53463,14038.97186,14321.1474,14219.86829,14212.95286,14275.99912,14543.68563,14535.14067,14585.04009,14840.19319,14985.68305,15033.20462,15038.43495,15173.45271,14795.88478,13760.76715,14251.22364,14118.91374,13935.26036,13911.76795,13699.29964,13534.87903,13394.57504,13406.50977,13506.21371,13162.65234,12075.7004,12351.79417
ANNEXI,UNFCCC_AI,Total GHG emissions without LULUCF,N2O,1068.179262,1026.659528,1000.908239,997.4270155,982.7095613,977.3541318,988.4761438,972.1493174,939.4161679,902.1050221,897.7709091,897.0202994,887.2613196,883.2897898,900.1511863,885.794786,874.5427117,884.8391867,866.5242592,842.2943133,835.4276026,843.7975449,819.7376376,857.6912756,866.7788731,855.0086579,853.684998,864.9625747,880.6978166,861.5159444,841.9719686,833.7911601
